StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,Lat,Long,ZipCodes,SitingDesc
181,Westmorland North,Imperial,Southern Region Office,Imperial,4/1/2004,6/17/2050,True,True,-200,Alfalfa,33.078611,-115.66056,"['92227', '92233', '92251', '92281']",
182,Delano,Delano,South Central Region Office,Tulare,3/21/2002,12/31/2050,True,True,300,Grass,35.833,-119.25596,"['93261', '93250', '93219', '93216', '93215', '93201']",
183,Owens Lake North,Keeler,Southern Region Office,Inyo,12/16/2002,12/31/2050,True,False,3684,Bare,36.488611,-117.91944,['93512'],
184,San Diego II,San Diego,Southern Region Office,San Diego,3/1/2002,12/31/2050,True,True,377,Grass,32.729578,-117.13934,"['92199', '92198', '92197', '92196', '92195', '92194', '92193', '92192', '92191', '92187', '92186', '92184', '92182', '92179', '92178', '92177', '92176', '92175', '92174', '92173', '92172', '92171', '92170', '92169', '92168', '92167', '92166', '92165', '92164', '92163', '92162', '92161', '92160', '92159', '92158', '92155', '92154', '92153', '92152', '92150', '92149', '92147', '92145', '92144', '92143', '92142', '92140', '92139', '92138', '92137', '92136', '92135', '92134', '92133', '92132', '92131', '92130', '92129', '92128', '92127', '92126', '92125', '92124', '92123', '92122', '92121', '92120', '92119', '92118', '92117', '92116', '92115', '92114', '92113', '92112', '92111', '92110', '92109', '92108', '92107', '92106', '92105', '92104', '92103', '92102', '92101']",
185,UC-Mex,Calexico,Southern Region Office,Imperial,1/18/2002,8/28/2002,False,True,39,Grass,32.411111,-115.19722,['92243'],
186,UC-San Luis,Calexico,Southern Region Office,Imperial,4/16/2002,1/25/2016,False,False,48,Grass,32.492658,-114.82616,['92243'],
187,Black Point,Novato,North Central Region Office,Marin,6/1/2003,12/31/2050,True,True,1,Grass,38.090933,-122.5267,"['94945', '94949']",
188,Madera II,Madera,South Central Region Office,Madera,3/27/2013,6/23/2018,False,True,242,Grass,37.02,-120.15,"['93610', '93637', '93638', '93639']",
189,Owens Lake South,Cartago,Southern Region Office,Inyo,4/1/2003,12/31/2050,True,False,3682,Grass,36.358628,-117.94387,['93512'],
190,Five Points South West,Five Points,South Central Region Office,Fresno,7/2/2003,12/4/2019,False,False,270,Grass,36.382028,-120.22985,['93624'],
191,Pleasanton,Pleasanton,North Central Region Office,Alameda,5/1/2004,12/31/2050,True,True,335,Grass,37.663969,-121.88503,['94588'],
192,Lake Arrowhead,Lake Arrowhead,Southern Region Office,San Bernardino,3/20/2004,12/31/2050,True,True,5148,Grass,34.255942,-117.21814,['92352'],
193,Pacific Grove,Pacific Grove,South Central Region Office,Monterey,10/26/2011,12/31/2050,True,True,50,Grass,36.633222,-121.93486,"['93950', '93953', '93942', '93943', '93955']",
194,Oakdale,Oakdale,South Central Region Office,Stanislaus,11/2/2004,12/31/2050,True,True,165,Grass,37.727194,-120.85086,['95361'],
195,Auburn,Auburn,North Central Region Office,Placer,2/16/2005,12/31/2050,True,True,935,Grass,38.887603,-121.10291,"['95603', '95604']",
196,Esparto,Esparto,North Central Region Office,Yolo,4/15/2005,7/15/2017,False,True,174,Grass,38.691786,-122.01381,"['95607', '95627', '95653', '95695']",
197,Palmdale,Palmdale,Southern Region Office,Los Angeles,4/6/2005,12/31/2050,True,True,2550,Grass,34.614981,-118.03249,"['93534', '93535', '93543', '93550', '93552', '93591']",
198,Santa Paula,Santa Paula,Southern Region Office,Ventura,3/30/2005,6/22/2023,False,True,218,Grass,34.324639,-119.10488,['93060'],
199,Big Bear Lake,Big Bear Lake,Southern Region Office,San Bernardino,7/19/2005,12/31/2050,True,True,6910,Grass,34.237419,-116.86571,['92315'],
200,Indio 2,Indio,Southern Region Office,Riverside,5/16/2006,12/31/2050,True,True,40,Grass,33.748586,-116.2529,"['92201', '92202', '92203', '92211']",
201,UC-Andrade,Calexico,Southern Region Office,Imperial,1/1/2006,10/1/2015,False,True,120,Grass,32.674353,-115.04438,['92250'],
202,Nipomo,Nipomo,Southern Region Office,San Luis Obispo,6/27/2006,12/31/2050,True,True,255,Grass,35.028281,-120.56003,"['93420', '93444']",
203,Alpaugh,Alpaugh,South Central Region Office,Tulare,7/11/2006,11/16/2017,False,False,210,Grass,35.862583,-119.50357,"['93201', '93212', '93219', '93280']",
204,Santa Clarita,Santa Clarita,Southern Region Office,Los Angeles,12/4/2006,12/31/2050,True,True,1410,Grass,34.426361,-118.51758,['91350'],
205,Coalinga,Coalinga,South Central Region Office,Fresno,3/25/2010,12/31/2050,True,False,730,Grass,36.175833,-120.36027,['93210'],
206,Denair II,Denair,South Central Region Office,Stanislaus,4/9/2009,12/31/2050,True,True,150,Grass,37.545869,-120.75453,"['95303', '95316', '95323', '95326', '95382']",
